Ticker,Name,Market Cap (HKD),Sector,Revenue 2024 (HKD),Revenue 2023 (HKD),Revenue 2022 (HKD),Revenue 2021 (HKD),EPS 2024 (HKD),EPS 2023 (HKD),EPS 2022 (HKD),EPS 2021 (HKD),ROA 2024 (%),ROA 2023 (%),ROA 2022 (%),ROA 2021 (%)
0700.HK,TENCENT,4625990680576.0,Communication Services,726282700000.0,669916500000.0,610007200000.0,616129800000.0,23.0318,13.4046,21.732700000000005,25.956700000000005,19.16,16.2,19.62,21.4
1398.HK,ICBC,2588818538496.0,Financial Services,899012400000.0001,921852800000.0001,958471800000.0001,1033882300000.0001,1.078,1.078,1.067,1.045,12.65,13.92,15.31,16.84
9988.HK,BABA-W,2354620137472.0,Consumer Cyclical,1035284800000.0001,955555700000.0001,938368200000.0001,789017900000.0001,4.345000000000001,3.806,3.1570000000000005,7.6450000000000005,10.22,9.61,8.32,14.19
1288.HK,ABC,2119621541888.0,Financial Services,781531300000.0001,764102900000.0001,764044600000.0001,791456600000.0001,,0.792,0.759,0.7150000000000001,13.11,14.42,15.86,17.45
0941.HK,CHINA MOBILE,1880590254080.0,Communication Services,1144834900000.0,1110239900000.0,1030984900000.0001,933083800000.0001,,6.776000000000001,6.468,6.237,19.44,21.04,20.75,20.77
0939.HK,CCB,1759437783040.0,Financial Services,824523700000.0001,845443500000.0001,860822600000.0001,904907300000.0001,,1.4410000000000003,1.4080000000000001,1.309,-9.77,-10.74,-11.82,-13.0
3988.HK,BANK OF CHINA,1681788370944.0,Financial Services,692356500000.0,684116400000.0,643194200000.0,664489100000.0,0.8250000000000001,0.8140000000000001,0.792,0.77,18.35,20.18,22.2,24.42
0005.HK,HSBC HOLDINGS,1605099978752.0,Financial Services,525688800000.0,502632000000.0,419008200000.0,501126600000.0,9.75,8.969999999999999,5.85,4.836,4.06,4.06,4.06,4.06
0857.HK,PETROCHINA,1566150492160.0,Energy,3231779100000.0005,3314093200000.0005,3563083700000.0005,2875783900000.0,0.9900000000000001,0.9680000000000001,0.8910000000000001,0.55,19.65,19.32,18.41,16.67
1810.HK,XIAOMI-W,1321767010304.0,Technology,402496985000.00006,298067155100.0,308048417600.0,361140059500.0,1.045,0.77,0.11000000000000001,0.8580000000000001,9.76,9.64,3.53,11.39
1211.HK,BYD COMPANY,1296391077888.0,Consumer Cyclical,854812700500.0001,662546889400.0,466466698500.00006,237756634500.00003,,11.352000000000002,6.281000000000001,1.1660000000000001,16.41,13.33,9.51,7.63
3968.HK,CM BANK,1231904178176.0,Financial Services,368341600000.0,370311700000.0,376483800000.0,359945300000.0,6.226000000000001,6.1930000000000005,5.7860000000000005,5.071000000000001,-11.9,-13.09,-14.4,-15.84
2628.HK,CHINA LIFE,988991651840.0,Financial Services,333213100000.0,296630400000.0,904535500000.0001,932922100000.0001,4.158,1.9910000000000003,1.254,1.9800000000000002,12.9,14.19,15.6,17.16
2318.HK,PING AN,968122957824.0,Financial Services,819404300000.0001,746509500000.0,730955500000.0,1163305000000.0,7.876000000000001,5.324,6.996000000000001,6.347,9.49,10.44,11.48,12.63
0883.HK,CNOOC,849032052736.0,Energy,468879400000.00006,,475447500000.00006,273572200000.00003,,2.8600000000000003,3.333,1.7270000000000003,28.31,,31.24,22.22
1088.HK,CHINA SHENHUA,821380579328.0,Energy,372212500000.0,377381400000.0,378986300000.00006,369204000000.0,3.2483,3.3044000000000002,3.8555,2.7720000000000002,18.59,19.02,21.41,17.39
3690.HK,MEITUAN-W,802805317632.0,Consumer Cyclical,371350733600.0,304419449400.0,241950442800.00003,197040796700.00003,6.4350000000000005,2.4530000000000003,-1.1990000000000003,-4.29,16.19,8.8,2.05,-6.2
0728.HK,CHINA TELECOM,740361895936.0,Communication Services,582358700000.0,564906100000.0,529592800000.00006,483508300000.00006,0.396,0.36300000000000004,0.33,0.341,18.48,18.62,18.32,18.65
1299.HK,AIA,699408580608.0,Financial Services,158769000000.0,156241800000.0,-194672400000.0,365851200000.0,4.836,2.574,2.184,4.8009,-8.83,-8.83,-8.83,-8.83
0386.HK,SINOPEC CORP,697875103744.0,Energy,3380416600000.0005,3531949300000.0005,3648640600000.0005,3014972400000.0,,0.5357000000000001,0.6094,0.649,10.98,11.66,12.4,13.9
0300.HK,MIDEA GROUP,629609594880.0,Consumer Cyclical,449992692600.00006,411080784400.00006,380279576600.00006,377696907500.0,5.984000000000001,5.423,4.774,4.587000000000001,10.37,11.41,11.27,11.7
9999.HK,NTES-S,601538101248.0,Communication Services,115824759600.00002,113814974900.00002,106145389900.00002,96366628600.00002,10.208,10.065000000000001,6.853000000000001,5.577000000000001,17.96,18.2,14.32,14.1
3328.HK,BANKCOMM,578259255296.0,Financial Services,284277400000.0,282090600000.0,281341500000.0,295524900000.0,,1.265,1.254,1.2100000000000002,9.99,10.99,12.09,13.3
1658.HK,PSBC,557993754624.0,Financial Services,257928000000.00003,249471200000.00003,258143600000.00003,238082900000.00003,0.8910000000000001,0.913,0.935,0.8580000000000001,3.2,3.52,3.87,4.26
2899.HK,ZIJIN MINING,494224670720.0,Basic Materials,334003952868.30005,322743567165.80005,297361898304.9,247612737451.2,1.331,0.8800000000000001,0.8360000000000001,0.66,17.32,12.95,15.45,16.98
0388.HK,HKEX,478742577152.0,Financial Services,17346000000.0,15445000000.0,16934000000.0,19471000000.0,10.32,9.37,7.96,9.91,5.8,6.12,3.81,4.09
0981.HK,SMIC,433834295296.0,Technology,62633383800.0,49308168000.0,56731615200.0,42456273600.0,,0.858,1.794,1.716,8.56,8.5,10.53,10.58
9633.HK,NONGFU SPRING,432427925504.0,Consumer Defensive,47185591200.0,46933943100.0,36563105700.0,32666046600.000004,1.1858000000000002,1.1814000000000002,0.8360000000000001,0.7040000000000001,38.81,41.23,38.15,39.41
0998.HK,CITIC BANK,428174409728.0,Financial Services,234054700000.00003,225666100000.00003,231881100000.00003,224750900000.00003,1.342,1.3970000000000002,1.287,1.1880000000000002,2.51,2.76,3.03,3.34
0945.HK,MANULIFE-S,427051122688.0,Financial Services,45582000000.0,42309000000.0,23617000000.0,59841000000.0,2.85,2.62,3.68,3.55,-1.0,-1.0,-1.0,-1.0
6030.HK,CITIC SEC,401078157312.0,Financial Services,70042906559.923,65368565015.787,70878637745.212,83155178792.246,1.551,1.4300000000000002,1.562,1.859,10.94,12.03,13.24,14.56
9618.HK,JD-SW,382251630592.0,Consumer Cyclical,1274700900000.0,1193128200000.0,1150859600000.0,1046751200000.0001,15.213000000000001,8.459000000000001,3.652,-1.265,9.98,7.49,4.29,1.08
1339.HK,PICC GROUP,362516480000.0,Financial Services,658670100000.0,583228800000.0,522599000000.00006,651216500000.0,1.045,0.55,0.627,0.539,10.23,11.25,12.38,13.62
2388.HK,BOC HONG KONG,349959651328.0,Financial Services,71843000000.0,69660000000.0,53003000000.0,65283000000.0,3.6162,3.095,2.4535,2.1726,5.35,5.35,5.35,5.35
2328.HK,PICC P&C,334086864896.0,Financial Services,529581800000.00006,484240900000.00006,449016700000.00006,472100200000.00006,1.5906,1.2155,1.4421000000000002,1.1055,6.18,6.8,7.48,8.23
9961.HK,TRIP.COM-S,330723131392.0,Consumer Cyclical,58623400000.00001,48961000000.00001,22042900000.0,22025300000.0,,16.709,2.387,-0.9570000000000001,9.0,6.93,3.12,1.44
2601.HK,CPIC,315434958848.0,Financial Services,342630200000.0,303724300000.0,299196700000.0,480032300000.00006,5.1370000000000005,3.1130000000000004,4.279000000000001,3.0690000000000004,13.41,14.75,16.22,17.84
2611.HK,GTHT,308733706240.0,Financial Services,47407872540.600006,39339309746.0,38191649416.8,46474794914.9,,1.078,1.375,1.815,5.93,6.52,7.17,7.89
0267.HK,CITIC,284212232192.0,Industrials,1044657900000.0001,970951300000.0001,929393300000.0001,813717328412.4514,2.2,1.9757331000000002,2.4530000000000003,2.1669153000000003,1.58,1.54,1.63,1.56
2888.HK,STANCHART,280274731008.0,Financial Services,154549200000.0,138200400000.0,126188400000.0,114129600000.0,11.0214,8.4708,6.7002,4.7814,9.67,9.67,9.67,9.67
0762.HK,CHINA UNICOM,272016228352.0,Communication Services,428547900000.00006,409856700000.00006,390438400000.00006,360639400000.0,,0.671,0.6050000000000001,0.517,18.09,18.27,18.57,19.52
1919.HK,COSCO SHIP HOLD,261848268800.0,Industrials,257244986900.00003,192998272500.00003,430164346700.00006,367063337300.0,,1.6280000000000001,7.524,6.149,19.63,13.35,41.09,38.42
9992.HK,POP MART,259920904192.0,Consumer Cyclical,14341523900.000002,6931102200.000001,5079056400.0,4939716100.0,2.596,0.8910000000000001,0.385,0.682,39.04,23.36,16.45,21.51
2020.HK,ANTA SPORTS,255939330048.0,Consumer Cyclical,77908600000.0,68591600000.00001,59016100000.00001,54260800000.00001,6.105,4.059,3.102,3.1570000000000005,27.33,25.22,25.96,26.24
6818.HK,CEB BANK,246581919744.0,Financial Services,148942200000.0,160213900000.0,166864500000.0,168125100000.0,0.682,0.682,0.8140000000000001,0.781,2.67,2.94,3.23,3.56
9888.HK,BIDU-SW,243390054400.0,Communication Services,146437500000.0,148057800000.0,136042500000.00002,136942300000.00002,9.141000000000002,7.678000000000001,2.75,3.9380000000000006,13.36,13.5,9.32,10.64
6690.HK,HAIER SMARTHOME,238947237888.0,Consumer Cyclical,314579347724.323,301624972932.767,267936817454.31702,249816399405.859,2.2220000000000004,1.9690000000000003,1.7380000000000002,1.551,12.54,12.41,11.38,10.84
2378.HK,PRU,238905933824.0,Financial Services,63484200000.0,93366000000.0,-215186400000.0,206700000000.0,6.559799999999999,4.8438,-2.8704,-6.0606,11.27,11.27,11.27,11.27
0016.HK,SHK PPT,234737991680.0,Real Estate,71506000000.0,71195000000.0,77747000000.0,85262000000.0,6.57,8.25,8.82,9.21,3.84,4.37,4.65,5.35
6936.HK,SF HOLDING,232244543488.0,Industrials,312862064900.0,284250343300.0,294239455400.0,227905311700.00003,,1.87,1.3970000000000002,1.0230000000000001,17.14,14.94,14.59,10.14
2015.HK,LI AUTO-W,229407719424.0,Consumer Cyclical,158905940600.0,136236465200.00002,49815497600.00001,29710756900.000004,4.433000000000001,6.545000000000001,-1.1440000000000001,-0.18700000000000003,8.51,9.46,-1.07,0.89
1024.HK,KUAISHOU-W,218188709888.0,Communication Services,139587800000.0,124817000000.00002,103601300000.00002,89189664300.0,,1.6280000000000001,-3.5420000000000007,-22.407000000000004,18.35,15.09,-6.66,-85.2
1766.HK,CRRC,212263649280.0,Industrials,271102484400.00003,257687665400.00003,245232500700.00003,248304930500.00003,0.47300000000000003,0.451,0.451,0.396,5.51,5.62,5.97,5.54
0788.HK,CHINA TOWER,209097523200.0,Communication Services,107549200000.00002,103409900000.00002,101387000000.00002,95243500000.00002,6.7518,6.135800000000001,0.5533,0.46090000000000003,22.14,21.83,23.06,21.55
6160.HK,BEIGENE,205533462528.0,Healthcare,29719879800.0,19178476200.0,11044183800.0,9175007400.0,-3.666,-5.07,-11.622,-9.126,-6.7,-19.29,-27.02,-16.31
0011.HK,HANG SENG BANK,201967566848.0,Financial Services,41572000000.0,40820000000.0,34381000000.0,49574000000.0,9.33,8.97,5.53,6.93,3.26,3.26,3.26,3.26
0175.HK,GEELY AUTO,198939721728.0,Consumer Cyclical,264213697000.00003,197123951200.00003,162761111700.0,111772161600.00002,1.804,0.561,0.561,0.528,13.59,7.75,9.38,9.68
1698.HK,TME-SW,198008225792.0,Communication Services,31241100000.000004,30527200000.000004,31172900000.000004,34368400000.0,2.365,1.7380000000000002,1.265,1.0010000000000001,11.94,10.45,9.27,7.77
1988.HK,MINSHENG BANK,191400689664.0,Financial Services,149919000000.0,154898700000.0,156723600000.0,185684400000.0,,0.792,0.781,0.781,10.14,11.16,12.27,13.5
2359.HK,WUXI APPTEC,189149380608.0,Healthcare,43165574495.868004,44374887564.744,43290255586.083,25192623642.021004,3.608,3.5970000000000004,3.311,1.9250000000000003,19.91,21.16,21.12,14.7
2333.HK,GWMOTOR,188412903424.0,Consumer Cyclical,219575405094.28702,188349166554.197,148195254257.798,150045129342.53702,1.639,0.902,1.0010000000000001,0.803,8.12,5.08,5.88,8.44
1816.HK,CGN POWER,181223145472.0,Utilities,95484856409.921,90803507465.35202,91104643945.073,88746619233.74501,0.23540000000000003,0.23320000000000002,0.21670000000000003,0.21230000000000002,10.39,10.11,9.56,10.03
1109.HK,CHINA RES LAND,180412776448.0,Real Estate,306679367500.0,276250813300.0,227767230900.00003,233319193800.00003,3.9490000000000003,4.840000000000001,4.3340000000000005,4.994000000000001,6.11,6.4,5.94,7.28
2097.HK,MIXUE GROUP,180319027200.0,Consumer Defensive,27311761400.000004,22332711500.0,14933134700.000002,11386084600.0,,9.152590700000001,5.825033500000001,5.573112600000001,34.68,33.44,31.53,40.08
2423.HK,BEKE-W,177027989504.0,Real Estate,102803247800.00002,85554625200.0,66735656900.00001,88827682900.0,1.309,1.837,-0.42900000000000005,-0.165,6.52,8.51,1.82,2.77
