Ticker,Name,Year,Sector,Market Cap (B HKD),Revenue (B HKD),EPS (HKD),First_Close,Last_Close,Close_Difference,Dividends,Growth (%),ROA (%),PE_Ratio
0700.HK,TENCENT,2023,Communication Services,4625.990680576,669.9165,13.4046,319.96667,288.56653,-31.40014000000002,2.4,-9.06,16.2,21.527425659848113
1398.HK,ICBC,2023,Financial Services,2588.818538496,921.8528,1.078,3.36483,3.44162,0.0767899999999999,0.329236,12.07,13.92,3.192597402597402
9988.HK,BABA-W,2023,Consumer Cyclical,2354.620137472,955.5557,3.806,88.35065,75.47639,-12.874260000000008,0.9767875,-13.47,9.61,19.830895953757224
1288.HK,ABC,2023,Financial Services,2119.621541888,764.1029000000001,0.792,2.2221,2.7263,0.5042,0.241042,33.54,14.42,3.44229797979798
0941.HK,CHINA MOBILE,2023,Communication Services,1880.59025408,1110.2399,6.776000000000001,45.7322,60.60465,14.87245,4.640000000000001,42.67,21.04,8.944015643447461
0939.HK,CCB,2023,Financial Services,1759.43778304,845.4435000000001,1.4410000000000005,4.03645,4.15813,0.1216799999999995,0.421987,13.47,-10.74,2.885586398334489
3988.HK,BANK OF CHINA,2023,Financial Services,1681.788370944,684.1164,0.8140000000000001,2.29633,2.6043,0.3079699999999996,0.251902,24.38,20.18,3.199385749385749
0005.HK,HSBC HOLDINGS,2023,Financial Services,1605.099978752,502.632,8.969999999999999,41.76679,57.92009,16.1533,4.1510940000000005,48.61,4.06,6.457089186176144
0857.HK,PETROCHINA,2023,Energy,1566.15049216,3314.0932000000007,0.968,3.07392,4.78351,1.7095899999999995,0.47184,70.97,19.32,4.941642561983471
1810.HK,XIAOMI-W,2023,Technology,1321.767010304,298.0671551,0.77,11.22,15.6,4.379999999999999,0.0,39.04,9.64,20.25974025974026
1211.HK,BYD COMPANY,2023,Consumer Cyclical,1296.391077888,662.5468894,11.352000000000002,197.60919,211.19707,13.587879999999984,1.26019,7.51,13.33,18.60439305849189
3968.HK,CM BANK,2023,Financial Services,1231.904178176,370.3117,6.1930000000000005,39.73269,25.58441,-14.14828,1.890363,-30.85,-13.09,4.131181979654448
2628.HK,CHINA LIFE,2023,Financial Services,988.99165184,296.6304,1.9910000000000003,12.39828,9.5665,-2.83178,0.53321,-18.54,14.19,4.804871923656453
2318.HK,PING AN,2023,Financial Services,968.122957824,746.5095,5.324,46.48981,32.80447,-13.685339999999997,2.71374,-23.6,10.44,6.161620961682946
0883.HK,CNOOC,2023,Energy,849.032052736,,2.8600000000000003,8.45669,12.10809,3.6514000000000006,1.34,59.02,,4.233597902097902
