Ticker,Name,Year,Sector,Market Cap (B HKD),Revenue (B HKD),EPS (HKD),First_Close,Last_Close,Close_Difference,Dividends,Growth (%),ROA (%),PE_Ratio
0700.HK,TENCENT,2024,Communication Services,4625.990680576,726.2827,23.0318,291.51511,416.16711,124.652,3.4,43.93,19.16,18.069239486275496
1398.HK,ICBC,2024,Financial Services,2588.818538496,899.0124000000001,1.078,3.36954,5.06471,1.6951699999999996,0.335715,60.27,12.65,4.698246753246753
9988.HK,BABA-W,2024,Consumer Cyclical,2354.620137472,1035.2848,4.345000000000001,74.57786,82.85,8.272139999999993,0.9767875,12.4,10.22,19.067894131185266
1288.HK,ABC,2024,Financial Services,2119.621541888,781.5313000000001,,2.71724,4.30396,1.58672,0.25331,67.72,13.11,
0941.HK,CHINA MOBILE,2024,Communication Services,1880.59025408,1144.8349,,60.09026,76.5,16.40974,5.0,35.63,19.44,
0939.HK,CCB,2024,Financial Services,1759.43778304,824.5237000000001,,4.05977,6.27802,2.2182499999999994,0.438393,65.44,-9.77,
3988.HK,BANK OF CHINA,2024,Financial Services,1681.788370944,692.3565,0.8250000000000001,2.57809,3.73271,1.15462,0.25907,54.83,18.35,4.524496969696969
0005.HK,HSBC HOLDINGS,2024,Financial Services,1605.099978752,525.6888,9.75,57.87413,73.41428,15.540150000000004,3.207043,32.39,4.06,7.529669743589744
0857.HK,PETROCHINA,2024,Energy,1566.15049216,3231.7791000000007,0.99,4.82059,6.12,1.29941,0.4931999999999999,37.19,19.65,6.181818181818182
1810.HK,XIAOMI-W,2024,Technology,1321.767010304,402.49698500000005,1.045,15.48,34.65,19.17,0.0,123.84,9.76,33.1578947368421
1211.HK,BYD COMPANY,2024,Consumer Cyclical,1296.391077888,854.8127005000001,,206.27176,266.60001,60.32825,3.40609,30.9,16.41,
3968.HK,CM BANK,2024,Financial Services,1231.904178176,368.3416,6.226000000000001,24.92599,40.15,15.22401,2.162044,69.75,-11.9,6.448763250883391
2628.HK,CHINA LIFE,2024,Financial Services,988.99165184,333.2131,4.158,9.34908,14.72,5.37092,0.68933,64.82,12.9,3.54016354016354
2318.HK,PING AN,2024,Financial Services,968.122957824,819.4043000000001,7.876000000000001,31.64449,44.59127,12.94678,1.64678,46.12,9.49,5.661664550533265
0883.HK,CNOOC,2024,Energy,849.032052736,468.8794000000001,,12.29437,19.1,6.805630000000001,1.4,66.74,28.31,
1088.HK,CHINA SHENHUA,2024,Energy,821.380579328,372.2125,3.2483,25.7745,33.55,7.775499999999997,2.491,39.83,18.59,10.32847951236031
3690.HK,MEITUAN-W,2024,Consumer Cyclical,802.805317632,371.3507336,6.4350000000000005,79.4,152.5,73.1,0.0,92.07,16.19,23.698523698523697
0728.HK,CHINA TELECOM,2024,Communication Services,740.361895936,582.3587,0.396,3.47953,4.86,1.3804700000000003,0.281103,47.75,18.48,12.272727272727273
1299.HK,AIA,2024,Financial Services,699.408580608,158.769,4.836,63.86114,56.25,-7.611139999999999,1.6357000000000002,-9.36,-8.83,11.631513647642679
0386.HK,SINOPEC CORP,2024,Energy,697.875103744,3380.4166000000005,,3.7802,4.46,0.6798000000000002,0.3787,28.0,10.98,
0300.HK,MIDEA GROUP,2024,Consumer Cyclical,629.60959488,449.99269260000005,5.984000000000001,2.49,75.55,73.06,0.0,2934.14,10.37,12.625334224598928
9999.HK,NTES-S,2024,Communication Services,601.538101248,115.82475960000002,10.208,145.38885,138.98279,-6.4060599999999965,3.8209583,-1.78,17.96,13.615085227272726
